392,"MR - Kính áp tròng không màu",200000,"Kính áp tròng không màu, Kính áp tròng nam, Lens 3 tháng, Lens cận",https://caraslens.com/wp-content/uploads/2019/12/50266337_2326943664185752_7206847997613703168_n.jpg,
395,"MR - Aqua Gray",200000,"Gray - Xám, Kính áp tròng nam, Lens 3 tháng, Lens cận, Lens màu, Lens size 14mm","https://caraslens.com/wp-content/uploads/2019/12/mr_m13g_13_9mm_02_1000x998.jpg, https://caraslens.com/wp-content/uploads/2019/12/72370351_2180230522270248_3629606626249408512_n.jpg, https://caraslens.com/wp-content/uploads/2019/12/M13GM01.jpg, https://caraslens.com/wp-content/uploads/2019/12/M13GM1.jpg",
397,"MR - Aqua Choco",200000,"Kính áp tròng nam, Lens 3 tháng, Lens cận, Lens Choco, Lens màu, Lens size 14mm",https://caraslens.com/wp-content/uploads/2019/12/72573247_2514981965381920_2611958114517254144_o.jpg,
399,"MR - Lolita Hazel Choco",400000,"Kính áp tròng nam, Lens Choco, Lens màu, Lens size 14mm",https://caraslens.com/wp-content/uploads/2019/12/mr_m04c_14_0mm_01_1000x1000.jpg,
402,"MR - Lavier Gray",300000,"Gray - Xám, Kính áp tròng nam, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/s07bm1.jpg, https://caraslens.com/wp-content/uploads/2019/12/81451886_2255059781453988_5508483582198284288_n.png",
404,"MR - Xania Gray",200000,"Gray - Xám, Kính áp tròng nam, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/48321995_2001477933478842_6949484318762729472_n.jpg, https://caraslens.com/wp-content/uploads/2019/12/71967955_2514982082048575_463166910968627200_o.jpg",
406,"MR - Xania Brown",200000,"Brown - Nâu, Kính áp tròng nam, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/S11BM01.jpg, https://caraslens.com/wp-content/uploads/2019/12/S02B-2.jpg",
408,"MR Everest Gray",200000,"Gray - Xám, Kính áp tròng nam, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/41827834_2259864910893628_7117298036866285568_n.jpg, https://caraslens.com/wp-content/uploads/2019/12/72272861_2514982018715248_1874242024811528192_o.jpg",
1880,"EMBER GRAY",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 1 ngày, Lens màu, Lens size 13.6mm - 13.8mm, Lens size 14mm","https://caraslens.com/wp-content/uploads/2019/12/s103g1.jpg, https://caraslens.com/wp-content/uploads/2019/12/20200114_124154055_iOS.jpg, https://caraslens.com/wp-content/uploads/2019/12/Photo-4-5-19-2-17-53-PM.png, https://caraslens.com/wp-content/uploads/2019/12/Photo-4-8-19-11-20-40-AM.jpg, https://caraslens.com/wp-content/uploads/2019/12/Photo-4-4-19-4-29-09-PM.jpg",
1915,"Clear 01 Day",45000,"Kính áp tròng không màu, Kính áp tròng nam, Kính áp tròng nữ, Lens 1 ngày, Lens cận","https://caraslens.com/wp-content/uploads/2019/12/60595809_2088227908137177_5586358430265769984_n.jpg, https://caraslens.com/wp-content/uploads/2019/12/60595809_2088227908137177_5586358430265769984_n-2.jpg",
1917,"PEARL FOREST",,"Brown - Nâu, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/Photo-1-15-19-4-12-48-PM.jpg, https://caraslens.com/wp-content/uploads/2019/12/79691536_2237142573245709_3151781764993646592_o.jpg, https://caraslens.com/wp-content/uploads/2019/12/Photo-1-18-19-6-39-42-PM.jpg, https://caraslens.com/wp-content/uploads/2019/12/Photo-11-26-18-7-41-46-PM-1.png, https://caraslens.com/wp-content/uploads/2019/12/s08bm2.jpg",
1919,"PEARL STONE",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/Photo-1-16-19-3-14-50-PM.png, https://caraslens.com/wp-content/uploads/2019/12/51795618_2030456777247624_7543727653010800640_n.jpg, https://caraslens.com/wp-content/uploads/2019/12/Photo-1-15-19-4-14-42-PM.jpg, https://caraslens.com/wp-content/uploads/2019/12/Photo-11-26-18-7-41-46-PM.png, https://caraslens.com/wp-content/uploads/2019/12/s08gm2.jpg",
1923,"KÍNH ÁP TRONG ĐẶC BIỆT VIỄN 1 THÁNG",200000,"Kính áp tròng không màu, Kính áp tròng nam, Kính áp tròng nữ, Lens viễn",https://caraslens.com/wp-content/uploads/2019/12/vien_thi.jpg,
2021,"DUNG DỊCH BẢO QUẢN VÀ VỆ SINH CONTACT LEN 140 ML (KOREA)",70000,"Phụ kiện > Nước ngâm lens, Phụ kiện","https://caraslens.com/wp-content/uploads/2019/12/img_3096.jpg, https://caraslens.com/wp-content/uploads/2019/12/img_3096.jpg",
2026,"DUNG DỊCH BẢO QUẢN VÀ VỆ SINH CONTACT LENS 360ML (SINGAPORE)",250000,"Phụ kiện > Nước ngâm lens, Phụ kiện","https://caraslens.com/wp-content/uploads/2020/01/8a1d417dc57c3e22676d-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/8a1d417dc57c3e22676d-1.jpg",
2030,"DD VS &amp; CUNG CẤP DƯỠNG CHẤT CHO MẮT 15 ML (KOREA)",80000,"Phụ kiện, Phụ kiện > Thuốc nhỏ mắt lens","https://caraslens.com/wp-content/uploads/2019/12/img_3098_.jpg, https://caraslens.com/wp-content/uploads/2019/12/img_3098_.jpg",
2035,"DD VS &amp; CUNG CẤP DƯỠNG CHẤT CHO MẮT C3-13 ML (JAPAN)",350000,"Phụ kiện, Phụ kiện > Thuốc nhỏ mắt lens","https://caraslens.com/wp-content/uploads/2019/12/nn350c3_5_1000x1000.jpg, https://caraslens.com/wp-content/uploads/2019/12/nn350c3_5_1000x1000.jpg, https://caraslens.com/wp-content/uploads/2019/12/cung-cap-duong-chat-c3_13ml_japan.jpg",
2121,"KÍNH ÁP TRÒNG CẬN LOẠN 24H",400000,"Kính áp tròng không màu, Kính áp tròng nam, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận loạn, Lens size 13.6mm - 13.8mm",https://caraslens.com/wp-content/uploads/2020/01/64384218_2104154086544559_6557304077506576384_n-2-e1579373194739.jpg,
2223,"KÍNH ÁP TRÒNG LOẠN THỊ",400000,"Kính áp tròng không màu, Kính áp tròng nam, Kính áp tròng nữ, Lens 3 tháng, Lens loạn","https://caraslens.com/wp-content/uploads/2020/01/79370225_2238993559727277_2316169987493986304_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/62141162_2096919110601390_6062830948053942272_n-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/64384218_2104154086544559_6557304077506576384_n-2-e1579373194739.jpg",
2229,"EVEREST GRAY",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/02/everest_grey.jpg, https://caraslens.com/wp-content/uploads/2020/01/S01G_13.7MM_04.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-21-48-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-22-36-46-16-10-2017.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-20-53-38-19-09-2017-1.jpg",
2263,"SAPPHIRE BROWN",,"Brown - Nâu, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/74328065_2196942267265740_5398575016906326016_o-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/61630330_476939029743671_6563283874573451264_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/S09B1.jpg",
2293,"SAPPHIRE GRAY",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm, Uncategorized @vi","https://caraslens.com/wp-content/uploads/2020/01/81696116_2263129867313646_6111841524243234816_o-2.jpg, https://caraslens.com/wp-content/uploads/2020/01/70950939_2168118526814781_3871857852784050176_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/81696116_2263129867313646_6111841524243234816_o-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/82603120_2265694870390479_2466320910290780160_o-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-4-18-19-10-24-54-AM-1.jpg",
2322,"DANA CHOCO",,"Kính áp tròng nam, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 1 ngày, Lens cận, Lens Choco, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/90718275_2319616324998333_6359203895004102656_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/52859420_2357009717845813_8966244967752138752_n-768x768-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/89968381_2314949958798303_102143535003729920_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/90718275_2319616324998333_6359203895004102656_o.jpg",
2346,"DANA GRAY",,"Gray - Xám, Kính áp tròng nam, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 1 ngày, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/90157192_2316307618662537_3749208498936741888_o-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-3-3-19-9-17-25-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/52883846_2357009741179144_8228681151816925184_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/52891168_2357009684512483_728610578649579520_n.jpg",
2370,"RITA BROWN",,"Brown - Nâu, Kính áp tròng nam, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 1 ngày, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/90393243_2318734811753151_2957172961406091264_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/66793224_2123754171251217_6470177049544753152_n-768x766-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/76773251_2220493644910602_702499586966552576_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/52631610_2357009697845815_3127350543610019840_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/53229493_2044771889149446_3347055760231104512_n-2.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-1-29-19-3-25-27-PM.png",
2417,"IRENA CHOCO (S104C)",450000,"Kính áp tròng nữ, Lens 3 tháng, Lens cận, Lens Choco, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/20190614_012656000_ios.jpg, https://caraslens.com/wp-content/uploads/2020/01/65438141_2110138202612814_8304101056707559424_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/68425339_2139780242981943_471928025777176576_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/69700615_2156011158025518_3549333193565929472_n.jpg",
2441,"IRENA GREY",450000,"Gray - Xám, Kính áp tròng nữ, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/banner_post.jpg, https://caraslens.com/wp-content/uploads/2020/01/68800641_2146695212290446_3325498902760652800_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/69301812_2146695172290450_698039001436651520_n.jpg",
2466,"DULCIE BROWN",,"Brown - Nâu, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/Photo-3-1-18-2-54-08-PM-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-5-24-18-3-19-20-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/s03b4.jpg, https://caraslens.com/wp-content/uploads/2020/01/20190526_175706000_ios_copy.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-19-41-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-3-1-18-2-54-10-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-12-13-18-4-06-32-PM-scaled.jpg",
2498,"XANIA GRAY",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/s11g1.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-1-27-18-10-34-50-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/s02g-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/s02g.jpg",
2530,"LAVIER GRAY",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/Photo-11-6-18-2-23-13-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-4-25-18-7-40-50-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/S07G.jpg, https://caraslens.com/wp-content/uploads/2020/01/S07G1.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-9-11-182c-2-29-45-PM_Logo.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-13-12-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-2-18-19-12-13-17-AM.jpg",
2588,"AQUA GRAY",,"Gray - Xám, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận, Lens màu, Lens size 14mm","https://caraslens.com/wp-content/uploads/2020/01/71545629_2166320986994535_5117006714851295232_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/M13G02.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-22-17-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/69357862_2150077175285583_8604426494556504064_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/m13g-1-Copy.jpg",
2617,"AQUA CHOCO",,"Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận, Lens Choco, Lens màu, Lens size 14mm","https://caraslens.com/wp-content/uploads/2020/01/Photo-12-25-18-12-57-44-PM-1024x1016-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/58543451_2074799319480036_2025466247050690560_n-768x768-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/65755633_2115851688708132_3960224799149522944_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/71276516_2172584963034804_8398017826668937216_n.jpg, https://caraslens.com/wp-content/uploads/2020/01/20190926_065709000_iOS.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-22-44-AM.jpg",
2676,"VERNICE GREY (S06G)",200000,"Gray - Xám, Kính áp tròng nữ, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/vernice_g.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-12-13-18-3-49-55-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-14-37-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-5-21-18-3-33-15-PM.jpg",
2701,"VERNICE BROWN (S06B)",200000,"Brown - Nâu, Kính áp tròng nữ, Lens 3 tháng, Lens màu, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/Photo-5-21-18-3-18-21-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-3-5-19-9-49-47-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-5-30-18-8-51-55-AM.jpg",
2726,"ENVY BROWN (M16B)",200000,"Brown - Nâu, Lens 3 tháng, Lens cận, Lens màu, Lens size 14mm","https://caraslens.com/wp-content/uploads/2020/01/82492419_2259638097662823_149127389140484096_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-12-25-18-1-17-45-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/74693511_2201843840108916_7324293362926747648_o.jpg",
2757,"KÍNH ÁP TRÒNG CẬN 24H",,"Kính áp tròng không màu, Kính áp tròng nam, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2019/12/kinh-ap-trong-can-loan-e1579487731204.jpg, https://caraslens.com/wp-content/uploads/2020/01/80292463_2238993326393967_6449304466263900160_o-768x766-1.jpg, https://caraslens.com/wp-content/uploads/2020/01/61177696_2088227944803840_391133557726117888_n.jpg, https://caraslens.com/wp-content/uploads/2019/12/ve-sinh-lens-sach-se-sau-di-khi-boi.jpg",
2810,"CLEAR LENS",,"Kính áp tròng không màu, Kính áp tròng nam, Kính áp tròng nữ, Kính phù hợp học đường và công sở, Lens 3 tháng, Lens cận, Lens size 13.6mm - 13.8mm","https://caraslens.com/wp-content/uploads/2020/01/79419687_2240063812953585_5577304042205347840_o.jpg, https://caraslens.com/wp-content/uploads/2020/01/79679097_2238993373060629_1760742239794888704_o.jpg",
2947,"XANIA BROWN",,"Brown - Nâu, Kính áp tròng nữ, Kính phù hợp chụp ảnh và dự tiệc, Lens 3 tháng, Lens cận, Lens màu, Lens size 13.6mm - 13.8mm, Uncategorized @vi","https://caraslens.com/wp-content/uploads/2020/01/Photo-12-13-18-4-41-59-PM-scaled.jpg, https://caraslens.com/wp-content/uploads/2020/01/d7c7d6e1897cca7559b88e2534166a3a92f92fb1.jpg, https://caraslens.com/wp-content/uploads/2020/01/78a2fb2e034e67e1b993313a20f8d5af1873077d.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-6-23-18-6-23-43-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/S11B01.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-10-12-18-11-21-17-AM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-09-39-10-02-12-2017-copy.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-5-29-18-1-04-56-PM.jpg, https://caraslens.com/wp-content/uploads/2020/01/Photo-4-23-19-6-29-02-PM.jpg",
3005,"Sapphire Brown 0.00",300000,"Brown - Nâu",,
3006,"Sapphire Brown 1.00",300000,"Brown - Nâu",,
3007,"Sapphire Brown 10.00",300000,"Brown - Nâu",,
3008,"Sapphire Brown 1.25",300000,"Brown - Nâu",,
3009,"Sapphire Brown 1.50",300000,"Brown - Nâu",,
3010,"Sapphire Brown 1.75",300000,"Brown - Nâu",,
3011,"Sapphire Brown 2.00",300000,"Brown - Nâu",,
3012,"Sapphire Brown 2.25",300000,"Brown - Nâu",,
3013,"Sapphire Brown 2.50",300000,"Brown - Nâu",,
3014,"Sapphire Brown 2.75",300000,"Brown - Nâu",,
3015,"Sapphire Brown 3.00",300000,"Brown - Nâu",,
3016,"Sapphire Brown 3.25",300000,"Brown - Nâu",,
3017,"Sapphire Brown 3.50",300000,"Brown - Nâu",,
3018,"Sapphire Brown 3.75",300000,"Brown - Nâu",,
3019,"Sapphire Brown 4.00",300000,"Brown - Nâu",,
3020,"Sapphire Brown 4.25",300000,"Brown - Nâu",,
3021,"Sapphire Brown 4.50",300000,"Brown - Nâu",,
3022,"Sapphire Brown 4.75",300000,"Brown - Nâu",,
3023,"Sapphire Brown 5.00",300000,"Brown - Nâu",,
3024,"Sapphire Brown 5.50",300000,"Brown - Nâu",,
3025,"Sapphire Brown 6.00",300000,"Brown - Nâu",,
3026,"Sapphire Brown 6.50",300000,"Brown - Nâu",,
3027,"Sapphire Brown 7.00",300000,"Brown - Nâu",,
3028,"Sapphire Brown 7.50",300000,"Brown - Nâu",,
3029,"Sapphire Brown 8.00",300000,"Brown - Nâu",,
3030,"Sapphire Brown 8.50",300000,"Brown - Nâu",,
3031,"Sapphire Brown 9.00",300000,"Brown - Nâu",,
3032,"Sapphire Brown 9.50",300000,"Brown - Nâu",,
3802,"Sản phẩm test con",200000,"Uncategorized @vi",,
3803,"Sản phẩm test con 2",200000,"Uncategorized @vi",,
3810,"Test độ cận 1",300000,"Uncategorized @vi",,
3811,"Test độ cận 2",350000,"Uncategorized @vi",,
3812,"Test độ cận 3",400000,"Uncategorized @vi",,
3821,"Xania Brown 0.00",200000,"Brown - Nâu",,
3822,"Xania Brown 1.00",200000,"Uncategorized @vi",,
3823,"Xania Brown 1.25",200000,"Uncategorized @vi",,
3824,"Xania Brown 1.75",200000,"Uncategorized @vi",,
3825,"Xania Brown 1.50",200000,"Uncategorized @vi",,
3826,"Xania Brown 2.00",200000,"Uncategorized @vi",,
3827,"Xania Brown 2.25",200000,"Uncategorized @vi",,
3828,"Xania Brown 6.00",200000,"Uncategorized @vi",,
3829,"Xania Brown 2.50",200000,"Uncategorized @vi",,
3830,"Xania Brown 3.00",200000,"Uncategorized @vi",,
3831,"Xania Brown 4.00",200000,"Uncategorized @vi",,
3832,"Xania Brown 3.75",200000,"Uncategorized @vi",,
3833,"Xania Brown 3.50",200000,"Uncategorized @vi",,
3834,"Xania Brown 3.25",200000,"Uncategorized @vi",,
3836,"Xania Brown 4.25",200000,"Uncategorized @vi",,
3837,"Xania Brown 4.75",200000,"Uncategorized @vi",,
3838,"Xania Brown 4.50",200000,"Uncategorized @vi",,
3839,"Xania Brown 5.50",200000,"Uncategorized @vi",,
3840,"Xania Brown 5.00",200000,"Uncategorized @vi",,
3841,"Xania Brown 5.25",200000,"Uncategorized @vi",,
3842,"Xania Brown 5.75",200000,"Uncategorized @vi",,
3843,"Xania Brown 6.50",200000,"Uncategorized @vi",,
3844,"Xania Brown 7.00",200000,"Uncategorized @vi",,
3845,"Xania Brown 7.50",200000,"Uncategorized @vi",,
3846,"Xania Brown 8.00",200000,"Uncategorized @vi",,
3847,"Xania Brown 9.00",200000,"Uncategorized @vi",,
3850,"Xania Brown 10.00",200000,"Uncategorized @vi",,
3851,"Xania Brown 8.50",200000,"Uncategorized @vi",,
3853,"Xania Brown 9.50",200000,"Uncategorized @vi",,
3854,"Xania Gray 0.00",200000,"Uncategorized @vi",,
3864,"Xania Gray 1.00",200000,"Uncategorized @vi",,
3865,"Xania Gray 1.50",200000,"Uncategorized @vi",,
3866,"Xania Gray 1.25",200000,"Uncategorized @vi",,
3867,"Xania Gray 1.75",200000,"Uncategorized @vi",,
3868,"Xania Gray 3.00",200000,"Uncategorized @vi",,
3869,"Xania Gray 2.00",200000,"Uncategorized @vi",,
3870,"Xania Gray 2.75",200000,"Uncategorized @vi",,
3871,"Xania Gray 2.25",200000,"Uncategorized @vi",,
3873,"Xania Gray 3.25",200000,"Uncategorized @vi",,
3874,"Xania Gray 5.75",200000,"Uncategorized @vi",,
3875,"Xania Gray 4.00",200000,"Uncategorized @vi",,
3876,"Xania Gray 5.25",200000,"Uncategorized @vi",,
3877,"Xania Gray 4.50",200000,"Uncategorized @vi",,
3878,"Xania Gray 4.75",200000,"Uncategorized @vi",,
3879,"Xania Gray 4.25",200000,"Uncategorized @vi",,
3880,"Xania Gray 3.75",200000,"Uncategorized @vi",,
3881,"Xania Gray 6.00",200000,"Uncategorized @vi",,
3882,"Xania Gray 5.00",200000,"Uncategorized @vi",,
3883,"Xania Gray 5.50",200000,"Uncategorized @vi",,
3884,"Xania Gray 3.50",200000,"Uncategorized @vi",,
3885,"Xania Gray 6.50",200000,"Uncategorized @vi",,
3886,"Xania Gray 7.50",200000,"Uncategorized @vi",,
3887,"Xania Gray 7.00",200000,"Uncategorized @vi",,
3888,"Xania Gray 8.00",200000,"Uncategorized @vi",,
3889,"Xania Gray 9.50",200000,"Uncategorized @vi",,
3890,"Xania Gray 10.00",200000,"Uncategorized @vi",,
3891,"Xania Gray 9.00",200000,"Uncategorized @vi",,
3892,"Xania Gray 8.50",200000,"Uncategorized @vi",,
3895,"Lavier Brown 0.00",300000,"Uncategorized @vi",,
3896,"Lavier Brown 1.00",300000,"Uncategorized @vi",,
3897,"Lavier Brown 1.25",300000,"Uncategorized @vi",,
3898,"Lavier Brown 1.50",300000,"Uncategorized @vi",,
3899,"Lavier Brown 2.25",300000,"Uncategorized @vi",,
3900,"Lavier Brown 2.00",300000,"Uncategorized @vi",,
3901,"Lavier Brown 2.50",300000,"Uncategorized @vi",,
3902,"Lavier Brown 2.75",300000,"Uncategorized @vi",,
3903,"Lavier Brown 3.25",300000,"Uncategorized @vi",,
3904,"Lavier Brown 3.00",300000,"Uncategorized @vi",,
3905,"Lavier Brown 3.50",300000,"Uncategorized @vi",,
3906,"Lavier Brown 1.75",300000,"Uncategorized @vi",,
3907,"Lavier Brown 3.75",300000,"Uncategorized @vi",,
3908,"Lavier Brown 4.00",300000,"Uncategorized @vi",,
3909,"Lavier Brown 4.25",300000,"Uncategorized @vi",,
3910,"Lavier Brown 4.50",300000,"Uncategorized @vi",,
3911,"Lavier Brown 4.75",300000,"Uncategorized @vi",,
3912,"Lavier Brown 5.00",300000,"Uncategorized @vi",,
3913,"Lavier Brown 6.00",300000,"Uncategorized @vi",,
3914,"Lavier Brown 6.50",300000,"Uncategorized @vi",,
3915,"Lavier Brown 9.00",300000,"Uncategorized @vi",,
